location_id,dayofweek,day_average
0,1,-48.66760879479473
0,2,38.01298468813647
0,3,83.37462665921166
0,4,81.58912897039028
0,5,7.328200964700609
0,6,32.9436525527877
0,7,-58.54456055340307
1,1,-5.780652281703951
1,2,23.386903704205416
1,3,98.24154761220727
1,4,65.86898891722402
1,5,-31.59553438004994
1,6,-30.620917098690764
1,7,-17.324428350853047
2,1,-45.04512648897137
2,2,-10.335668535509104
2,3,17.3258965128944
2,4,76.66084730329494
2,5,34.341823704129176
2,6,-14.03610452325829
2,7,-4.197556447407176
