location_id,hourofday,hour_average
0,0,-64.10236549911849
0,1,-49.31619435874339
0,2,-33.8168925921719
0,3,27.48476248330832
0,4,48.971013042152286
0,5,144.50863831830557
0,6,287.9204045647685
0,7,201.70473276364459
0,8,69.93741022548822
0,9,-67.20250996697388
0,10,-47.888769774254726
0,11,-75.62419096697714
0,12,-56.37180355762602
0,13,-85.15279311107203
0,14,9.649467254971437
0,15,-24.58618957519239
0,16,-0.7923802131163957
0,17,-3.9454490776983038
0,18,31.62596084986388
0,19,62.869696633196874
0,20,-82.8192817467084
0,21,-47.58094515817782
0,22,-15.75744718244415
0,23,-6.570154049050173
1,0,-66.83589314382783
1,1,-66.40174554917127
1,2,-7.395080394720145
1,3,27.508484301395775
1,4,57.99872805465865
1,5,109.58652987154314
1,6,203.15399413725405
1,7,128.94523993111216
1,8,23.367539994720055
1,9,-58.624179213378795
1,10,-38.49539199036793
1,11,-40.728385354911914
1,12,-11.283550021235556
1,13,-50.15856171722271
1,14,16.03691462778962
1,15,-22.109975103956817
1,16,0.9088769921096722
1,17,12.867840358787104
1,18,73.13831044310886
1,19,69.70330203031685
1,20,-44.36158528053632
1,21,-87.7612351838312
1,22,-25.95421069036073
1,23,-42.968973293610304
2,0,26.310765963514747
2,1,66.14890636295699
2,2,44.9541217230753
2,3,35.140279879222355
2,4,19.307075992511344
2,5,-30.63573079949597
2,6,27.528011309959034
2,7,21.53267237987889
2,8,23.535563184872522
2,9,-30.371533330834335
2,10,-19.957413423547884
2,11,-7.160656507514555
2,12,-42.80335705413665
2,13,-13.032893518715678
2,14,-77.20145391014226
2,15,-20.639805155271304
2,16,-2.0494925533741783
2,17,39.10226867831327
2,18,9.759272357909436
2,19,-67.83964550146027
2,20,-55.06662599096093
2,21,-17.353629404685492
2,22,-18.78540343145124
2,23,10.997348471030396
